Idx	Dataset	StartIdx	EndIdx	NumPts	X	Y	Z
0	2014-12-16-09-14-09	1418721286917086	1418721348544891	51083	-31.429890	855.514604	1.923775
1	2014-12-16-09-14-09	1418721289541446	1418721347101804	45877	-33.180738	858.304465	1.834819
2	2014-12-16-09-14-09	1418721292265354	1418721345657603	41655	-35.027957	860.513769	1.724359
3	2014-12-16-09-14-09	1418721296911787	1418721344412399	35317	-37.504153	860.893834	1.592755
4	2014-12-16-09-14-09	1418721319831909	1418721344552927	31536	-39.992619	855.435781	1.470144
5	2014-12-16-09-14-09	1418721331044499	1418721344733664	28668	-38.545499	844.633812	1.438352
6	2014-12-16-09-14-09	1418721336465212	1418721345798221	31437	-31.658959	829.745449	1.514429
7	2014-12-16-09-14-09	1418721338427050	1418721347202017	32173	-26.954645	818.662521	1.621530
8	2014-12-16-09-14-09	1418721340069838	1418721348685276	32847	-22.468443	807.838225	1.625328
9	2014-12-16-09-14-09	1418721341590538	1418721350230887	35807	-18.819873	798.077657	1.671527
10	2014-12-16-09-14-09	1418721343050033	1418721351758419	38176	-15.641177	789.033769	1.699635
11	2014-12-16-09-14-09	1418721344452542	1418721353264348	39240	-12.588628	780.171711	1.561460
12	2014-12-16-09-14-09	1418721345838404	1418721354727529	41007	-9.408909	771.615982	1.401677
13	2014-12-16-09-14-09	1418721347242102	1418721356129258	41771	-6.169442	762.580117	1.245329
14	2014-12-16-09-14-09	1418721348745476	1418721357512998	42386	-2.815847	753.068982	1.117577
15	2014-12-16-09-14-09	1418721350291255	1418721358838645	41484	0.468531	743.915164	1.008606
16	2014-12-16-09-14-09	1418721351838715	1418721360142728	40577	3.983470	734.377232	0.855521
17	2014-12-16-09-14-09	1418721353324573	1418721361426396	40435	7.185381	725.189766	0.763591
18	2014-12-16-09-14-09	1418721354787614	1418721362691997	40887	10.540793	715.654184	0.687136
19	2014-12-16-09-14-09	1418721356209318	1418721363979832	39862	14.091344	705.718018	0.542196
20	2014-12-16-09-14-09	1418721357573288	1418721365265431	38667	17.659466	695.848394	0.375649
21	2014-12-16-09-14-09	1418721358898880	1418721366532545	39178	21.259452	686.488983	0.266022
22	2014-12-16-09-14-09	1418721360202869	1418721367777124	38568	25.146272	677.240900	0.205408
23	2014-12-16-09-14-09	1418721361486624	1418721369000266	38300	29.133711	668.252375	0.221519
24	2014-12-16-09-14-09	1418721362752321	1418721370223326	35732	33.087898	659.269088	0.209273
25	2014-12-16-09-14-09	1418721364040109	1418721371447785	35653	37.713922	649.675419	0.309346
26	2014-12-16-09-14-09	1418721365305599	1418721372671969	35743	42.425921	640.395855	0.432349
27	2014-12-16-09-14-09	1418721366572739	1418721373916038	37094	47.226270	631.411007	0.504548
28	2014-12-16-09-14-09	1418721367817259	1418721375218704	35578	51.502487	621.851421	0.634495
29	2014-12-16-09-14-09	1418721369040351	1418721376741957	37627	55.831990	611.691141	0.728571
30	2014-12-16-09-14-09	1418721370263501	1418721378423566	35400	59.834227	602.386405	0.734987
31	2014-12-16-09-14-09	1418721371487900	1418721380651284	31920	64.661142	591.305368	0.816425
32	2014-12-16-09-14-09	1418721372732207	1418721405862532	58994	84.475909	611.399334	0.731790
33	2014-12-16-09-14-09	1418721373976195	1418721404156820	54889	85.224933	608.018114	0.717753
34	2014-12-16-09-14-09	1418721375298870	1418721402310339	49673	86.077562	604.758414	0.692354
35	2014-12-16-09-14-09	1418721376822074	1418721400466442	46570	87.129132	601.691982	0.676330
36	2014-12-16-09-14-09	1418721378523757	1418721398562682	43199	88.224201	599.274519	0.685361
37	2014-12-16-09-14-09	1418721380812062	1418721396077759	38893	90.004356	596.858432	0.515706
38	2014-12-16-09-14-09	1418721384501591	1418721395897096	41634	91.518842	603.871364	0.653249
39	2014-12-16-09-14-09	1418721386729212	1418721398863369	45638	91.104035	616.671026	0.869890
40	2014-12-16-09-14-09	1418721388253989	1418721401208080	48319	90.880329	625.380108	0.878736
41	2014-12-16-09-14-09	1418721389778766	1418721403615006	52345	90.649525	633.423387	0.944662
42	2014-12-16-09-14-09	1418721391405628	1418721406223380	55762	90.300643	642.228416	1.022645
43	2014-12-16-09-14-09	1418721393331645	1418721408545216	56281	90.048870	650.675800	1.102477
44	2014-12-16-09-14-09	1418721395776674	1418721410288175	51233	90.051063	659.139578	1.121025
45	2014-12-16-09-14-09	1418721398943545	1418721411831188	48743	89.808266	669.352121	1.148890
46	2014-12-16-09-14-09	1418721401268238	1418721413253624	48434	89.260248	677.830455	1.258851
47	2014-12-16-09-14-09	1418721403695336	1418721414617737	44327	88.434535	686.925489	1.454674
48	2014-12-16-09-14-09	1418721406283528	1418721415880485	41621	87.443720	697.471291	1.586370
49	2014-12-16-09-14-09	1418721408585264	1418721417083048	39872	85.933415	709.089857	1.680233
50	2014-12-16-09-14-09	1418721410328260	1418721418246043	41157	83.887583	719.697754	1.738722
51	2014-12-16-09-14-09	1418721411871232	1418721419428315	40378	81.863151	730.306868	1.767659
52	2014-12-16-09-14-09	1418721413293663	1418721420610970	42179	80.155238	741.072814	1.872375
53	2014-12-16-09-14-09	1418721414637782	1418721421813801	43533	78.612463	751.071843	1.775943
54	2014-12-16-09-14-09	1418721415900521	1418721422997013	42602	77.405719	760.696236	1.709317
55	2014-12-16-09-14-09	1418721417123149	1418721424160951	39847	76.529248	771.066176	1.799819
56	2014-12-16-09-14-09	1418721418286115	1418721425283832	44381	75.621808	781.169297	1.861867
57	2014-12-16-09-14-09	1418721419468383	1418721426427245	44304	74.823461	790.862027	1.882063
58	2014-12-16-09-14-09	1418721420651074	1418721427549544	39838	73.590208	800.756981	1.791565
59	2014-12-16-09-14-09	1418721421853926	1418721428674643	39242	72.887641	810.845066	1.868954
60	2014-12-16-09-14-09	1418721423037113	1418721429820657	38301	72.108783	821.047082	2.009987
61	2014-12-16-09-14-09	1418721424201044	1418721430966206	42017	70.998373	831.693475	1.950491
62	2014-12-16-09-14-09	1418721425343977	1418721432170437	42481	70.165073	842.263239	1.893117
63	2014-12-16-09-14-09	1418721426467326	1418721433475284	42174	69.333463	852.530102	1.858101
64	2014-12-16-09-14-09	1418721427589659	1418721434941131	46297	68.834063	863.229564	1.964717
65	2014-12-16-09-14-09	1418721428714843	1418721436664670	46290	68.047388	874.135328	2.086169
